,,,,,,,,,,art,art,art,art,bus,bus,bus,bus,cs,cs,cs,cs,econ,econ,econ,econ,edu,edu,edu,edu,eng,eng,eng,eng,humanities,humanities,humanities,humanities,lifesci,lifesci,lifesci,lifesci,math,math,math,math,nurse,nurse,nurse,nurse,polisci,polisci,polisci,polisci,social,social,social,social
0,10,Colorado School of Mines (Out-Of-State),67%,"$178,500 ","$719,000 ",8.60%,"$141,700 ","$755,900 ",9.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,Babson College ,90%,"$226,100 ","$716,700 ",7.60%,"$104,700 ","$838,100 ",11.80%,,,,,"$729,000 ",7.60%,"$850,400 ",11.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,Massachusetts Maritime Academy (In-State),61%,"$96,560 ","$702,100 ",11.30%,"$65,150 ","$733,500 ",13.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,Princeton University ,96%,"$217,300 ","$690,800 ",7.60%,"$78,590 ","$829,600 ",13.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14,Carnegie Mellon University (CMU) ,87%,"$236,200 ","$678,500 ",7.20%,"$134,700 ","$780,000 ",10.20%,,,,,,,,,"$1,081,000 ",9.20%,"$1,183,000 ",12.30%,,,,,,,,,"$792,300 ",7.80%,"$893,800 ",10.90%,,,,,,,,,,,,,,,,,,,,,,,,
6,15,Manhattan College ,75%,"$178,300 ","$675,600 ",8.30%,"$110,100 ","$743,700 ",11.00%,,,,,,,,,,,,,,,,,,,,,"$764,400 ",8.90%,"$832,600 ",11.50%,,,,,,,,,,,,,,,,,,,,,,,,
12,16,Georgia Institute of Technology (Out-Of-State),79%,"$178,500 ","$669,300 ",8.30%,"$123,600 ","$724,200 ",10.30%,,,,,,,,,"$826,400 ",9.20%,"$881,300 ",11.20%,,,,,,,,,"$690,100 ",8.40%,"$745,000 ",10.40%,,,,,,,,,,,,,,,,,,,,,,,,
0,17,Dartmouth College ,96%,"$233,600 ","$666,000 ",7.10%,"$77,050 ","$822,600 ",13.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,Worcester Polytechnic Institute (WPI) ,84%,"$220,700 ","$664,900 ",7.40%,"$145,000 ","$740,500 ",9.60%,,,,,,,,,"$964,000 ",8.90%,"$1,040,000 ",11.30%,,,,,,,,,"$639,700 ",7.20%,"$715,400 ",9.50%,,,,,,,,,,,,,,,,,,,,,,,,
0,19,South Dakota School of Mines & Technology (In-State),55%,"$90,330 ","$664,400 ",11.40%,"$71,750 ","$683,000 ",12.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,Missouri University of Science and Technology (S&T) (In-State),65%,"$98,170 ","$661,000 ",10.90%,"$61,950 ","$697,200 ",13.50%,,,,,,,,,"$804,900 ",11.90%,"$841,100 ",14.50%,,,,,,,,,"$674,600 ",11.00%,"$710,800 ",13.60%,,,,,,,,,,,,,,,,,,,,,,,,
0,21,South Dakota School of Mines & Technology (Out-Of-State),55%,"$98,700 ","$656,000 ",10.90%,"$80,120 ","$674,600 ",12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,22,University of California - Berkeley (In-State),91%,"$133,900 ","$654,400 ",9.40%,"$64,210 ","$724,100 ",13.50%,,,,,"$1,036,000 ",11.60%,"$1,105,000 ",15.80%,"$1,484,000 ",13.50%,"$1,553,000 ",17.70%,"$946,800 ",11.20%,"$1,017,000 ",15.30%,,,,,"$1,064,000 ",11.80%,"$1,134,000 ",15.90%,,,,,"$556,200 ",8.70%,"$625,900 ",12.80%,,,,,,,,,"$462,100 ",7.90%,"$531,800 ",12.00%,,,,
6,23,Harvard University ,97%,"$225,700 ","$650,100 ",7.20%,"$53,910 ","$821,900 ",15.10%,,,,,,,,,"$1,142,000 ",9.60%,"$1,314,000 ",17.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24,Illinois Institute of Technology (IIT) ,68%,"$207,300 ","$642,200 ",7.50%,"$85,170 ","$764,300 ",12.40%,,,,,,,,,,,,,,,,,,,,,"$715,100 ",7.90%,"$837,200 ",12.80%,,,,,,,,,,,,,,,,,,,,,,,,
0,25,Massachusetts Maritime Academy (Out-Of-State),61%,"$156,900 ","$641,800 ",8.70%,"$125,500 ","$673,200 ",9.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26,University of Pennsylvania ,96%,"$230,800 ","$641,100 ",7.00%,"$84,920 ","$787,000 ",12.50%,,,,,,,,,,,,,"$821,300 ",8.10%,"$967,200 ",13.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27,Santa Clara University ,86%,"$224,000 ","$635,400 ",7.10%,"$147,400 ","$712,000 ",9.40%,,,,,"$660,100 ",7.30%,"$736,600 ",9.50%,,,,,"$664,900 ",7.30%,"$741,500 ",9.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,Cooper Union for The Advancement of Science and Art ,81%,"$232,500 ","$633,500 ",7.00%,"$65,010 ","$801,000 ",14.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,Rice University ,92%,"$200,200 ","$633,400 ",7.60%,"$76,070 ","$757,500 ",12.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,Brown University ,95%,"$228,100 ","$633,000 ",7.00%,"$91,140 ","$770,000 ",12.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,Williams College ,96%,"$226,500 ","$623,500 ",7.00%,"$65,320 ","$784,700 ",13.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,32,Columbia University ,95%,"$236,500 ","$614,300 ",6.80%,"$81,220 ","$769,600 ",12.60%,"$322,300 ",4.60%,"$477,700 ",10.30%,,,,,"$1,412,000 ",10.40%,"$1,567,000 ",16.40%,"$739,000 ",7.50%,"$894,300 ",13.40%,,,,,"$957,100 ",8.60%,"$1,112,000 ",14.60%,,,,,,,,,,,,,,,,,,,,,,,,
24,33,California Polytechnic State University (CalPoly) - San Luis Obispo (In-State),72%,"$103,600 ","$611,700 ",10.30%,"$73,170 ","$642,100 ",12.30%,,,,,"$639,200 ",10.50%,"$669,600 ",12.50%,"$1,010,000 ",12.80%,"$1,041,000 ",14.80%,,,,,,,,,"$789,700 ",11.60%,"$820,100 ",13.50%,,,,,"$420,600 ",8.60%,"$451,100 ",10.50%,,,,,,,,,,,,,,,,
18,34,Rensselaer Polytechnic Institute (RPI) ,84%,"$237,900 ","$607,100 ",6.70%,"$145,600 ","$699,400 ",9.40%,,,,,"$296,300 ",4.30%,"$388,600 ",6.90%,"$851,100 ",8.10%,"$943,400 ",10.80%,,,,,,,,,"$676,100 ",7.10%,"$768,400 ",9.80%,,,,,,,,,,,,,,,,,,,,,,,,
0,35,"Embry-Riddle Aeronautical University (ERAU) - Prescott, AZ ",55%,"$192,900 ","$606,200 ",7.50%,"$147,500 ","$651,500 ",9.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,Lafayette College ,91%,"$220,600 ","$605,500 ",7.00%,"$92,590 ","$733,400 ",11.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,37,Missouri University of Science and Technology (S&T) (Out-Of-State),65%,"$155,800 ","$603,300 ",8.40%,"$119,600 ","$639,600 ",9.90%,,,,,,,,,"$747,300 ",9.40%,"$783,500 ",10.80%,,,,,,,,,"$617,000 ",8.50%,"$653,200 ",10.00%,,,,,,,,,,,,,,,,,,,,,,,,
0,38,"Touro College - New York, NY",27%,"$109,800 ","$592,000 ",9.90%,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39,Duke University ,95%,"$230,300 ","$591,500 ",6.70%,"$94,080 ","$727,800 ",11.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,40,Bucknell University ,90%,"$225,800 ","$589,500 ",6.80%,"$112,900 ","$702,500 ",10.60%,,,,,"$208,900 ",3.50%,"$321,800 ",7.10%,,,,,,,,,,,,,"$690,600 ",7.40%,"$803,600 ",11.20%,,,,,,,,,,,,,,,,,,,,,,,,
6,41,Kettering University ,56%,"$227,500 ","$589,200 ",6.80%,"$139,600 ","$677,200 ",9.40%,,,,,,,,,,,,,,,,,,,,,"$589,400 ",6.80%,"$677,400 ",9.40%,,,,,,,,,,,,,,,,,,,,,,,,
18,42,New Jersey Institute of Technology (NJIT) (In-State),54%,"$137,700 ","$588,500 ",8.80%,"$77,310 ","$648,900 ",12.00%,,,,,"$443,400 ",7.60%,"$503,800 ",10.80%,"$791,600 ",10.20%,"$852,000 ",13.40%,,,,,,,,,"$674,000 ",9.50%,"$734,400 ",12.70%,,,,,,,,,,,,,,,,,,,,,,,,
0,43,New Mexico Institute of Mining and Technology (New Mexico Tech) (In-State),47%,"$76,410 ","$588,400 ",11.60%,"$45,900 ","$619,000 ",14.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,44,Texas A&M University - Main Campus (In-State),80%,"$91,040 ","$566,700 ",10.60%,"$51,820 ","$605,900 ",13.70%,,,,,"$574,900 ",10.60%,"$614,100 ",13.80%,"$790,800 ",12.20%,"$830,000 ",15.40%,"$382,300 ",8.80%,"$421,600 ",11.90%,"$29,430 ",1.60%,"$68,640 ",4.50%,"$804,500 ",12.30%,"$843,700 ",15.50%,"$44,090 ",2.20%,"$83,310 ",5.10%,"$306,300 ",7.80%,"$345,500 ",10.90%,,,,,,,,,"$558,800 ",10.50%,"$598,000 ",13.70%,,,,
6,45,Saint Mary's College of California ,62%,"$223,200 ","$562,400 ",6.70%,"$134,600 ","$651,000 ",9.40%,,,,,"$702,400 ",7.50%,"$790,900 ",10.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,46,Virginia Polytechnic Institute and State University (Virginia Tech) (In-State),83%,"$97,710 ","$560,900 ",10.20%,"$67,700 ","$590,900 ",12.20%,"$293,800 ",7.40%,"$323,800 ",9.30%,"$439,500 ",9.10%,"$469,500 ",11.10%,"$980,600 ",12.90%,"$1,011,000 ",15.00%,"$467,300 ",9.30%,"$497,300 ",11.40%,,,,,"$753,700 ",11.60%,"$783,700 ",13.70%,"$243,300 ",6.60%,"$273,400 ",8.60%,"$217,600 ",6.20%,"$247,600 ",8.20%,,,,,,,,,,,,,,,,
18,47,"Cornell University - Ithaca, NY ",93%,"$227,600 ","$560,400 ",6.60%,"$91,320 ","$696,600 ",11.60%,,,,,"$659,100 ",7.20%,"$795,400 ",12.20%,"$946,400 ",8.70%,"$1,083,000 ",13.80%,,,,,,,,,"$839,800 ",8.20%,"$976,100 ",13.30%,,,,,,,,,,,,,,,,,,,,,,,,
0,48,Yale University ,96%,"$230,100 ","$559,600 ",6.50%,"$67,690 ","$722,000 ",13.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,49 (tie),California Polytechnic State University (CalPoly) - San Luis Obispo (Out-Of-State),72%,"$156,000 ","$559,300 ",8.10%,"$125,500 ","$589,800 ",9.30%,,,,,"$586,800 ",8.30%,"$617,300 ",9.50%,"$957,800 ",10.50%,"$988,300 ",11.70%,,,,,,,,,"$737,300 ",9.30%,"$767,800 ",10.50%,,,,,"$368,300 ",6.40%,"$398,700 ",7.60%,,,,,,,,,,,,,,,,
0,49 (tie),Montana Tech of The University of Montana (In-State),48%,"$81,990 ","$559,300 ",11.00%,"$55,740 ","$585,500 ",13.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,51,Washington and Lee University ,90%,"$216,800 ","$558,900 ",6.80%,"$71,740 ","$703,900 ",12.80%,,,,,"$807,000 ",8.20%,"$952,100 ",14.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,52,University of Notre Dame ,95%,"$221,200 ","$558,200 ",6.70%,"$97,750 ","$681,600 ",11.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,53,University of California - Berkeley (Out-Of-State),91%,"$231,800 ","$556,600 ",6.50%,"$162,100 ","$626,300 ",8.40%,,,,,"$937,700 ",8.60%,"$1,007,000 ",10.60%,"$1,386,000 ",10.40%,"$1,456,000 ",12.40%,"$848,900 ",8.20%,"$918,700 ",10.10%,,,,,"$966,500 ",8.70%,"$1,036,000 ",10.70%,,,,,"$458,300 ",5.80%,"$528,000 ",7.70%,,,,,,,,,"$364,200 ",5.00%,"$433,900 ",6.90%,,,,
6,54 (tie),Johns Hopkins University ,92%,"$229,100 ","$555,000 ",6.50%,"$88,590 ","$695,500 ",11.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$335,700 ",4.80%,"$476,200 ",9.90%,,,,,,,,
6,54 (tie),Michigan Technological University (In-State),66%,"$112,200 ","$555,000 ",9.50%,"$63,650 ","$603,500 ",12.60%,,,,,,,,,,,,,,,,,,,,,"$615,600 ",10.00%,"$664,100 ",13.10%,,,,,,,,,,,,,,,,,,,,,,,,
30,56,University of Virginia (UVA) - Main Campus (In-State),93%,"$94,300 ","$550,700 ",10.30%,"$25,880 ","$619,100 ",17.60%,,,,,"$833,100 ",12.30%,"$901,500 ",19.80%,"$1,239,000 ",14.30%,"$1,307,000 ",22.00%,"$701,000 ",11.40%,"$769,400 ",18.90%,,,,,"$929,400 ",12.80%,"$997,800 ",20.40%,"$267,200 ",7.10%,"$335,600 ",14.30%,,,,,,,,,,,,,,,,,,,,
42,57,University of California - San Diego (UCSD) (In-State),86%,"$122,100 ","$549,700 ",9.10%,"$52,350 ","$619,500 ",13.80%,"$340,500 ",7.10%,"$410,300 ",11.70%,"$577,300 ",9.30%,"$647,100 ",14.00%,"$1,090,000 ",12.30%,"$1,159,000 ",17.20%,"$487,800 ",8.50%,"$557,600 ",13.20%,,,,,"$943,800 ",11.60%,"$1,014,000 ",16.50%,,,,,"$366,900 ",7.40%,"$436,700 ",12.00%,,,,,,,,,"$225,100 ",5.50%,"$294,900 ",10.10%,,,,
6,58,Colgate University ,90%,"$223,600 ","$543,200 ",6.50%,"$76,450 ","$690,300 ",12.40%,,,,,,,,,,,,,"$866,900 ",8.40%,"$1,014,000 ",14.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,59,University of Massachusetts (UMass) - Lowell Campus (In-State),54%,"$103,800 ","$542,700 ",9.80%,"$67,850 ","$578,700 ",12.10%,,,,,"$345,700 ",7.80%,"$381,700 ",10.10%,,,,,,,,,,,,,"$785,900 ",11.50%,"$821,900 ",13.90%,,,,,,,,,,,,,,,,,,,,,,,,
0,60,New Mexico Institute of Mining and Technology (New Mexico Tech) (Out-Of-State),47%,"$122,600 ","$542,300 ",9.00%,"$92,060 ","$572,800 ",10.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,61,University of Illinois at Urbana-Champaign (UIUC) (In-State),84%,"$113,200 ","$541,600 ",9.30%,"$65,240 ","$589,500 ",12.40%,"$164,600 ",4.80%,"$212,500 ",7.70%,"$601,300 ",9.80%,"$649,300 ",12.90%,"$872,300 ",11.60%,"$920,300 ",14.70%,"$540,200 ",9.30%,"$588,100 ",12.40%,,,,,"$754,200 ",10.90%,"$802,200 ",14.00%,"$197,500 ",5.30%,"$245,500 ",8.30%,"$470,400 ",8.70%,"$518,300 ",11.80%,,,,,,,,,"$332,000 ",7.30%,"$379,900 ",10.30%,,,,
18,62,New Jersey Institute of Technology (NJIT) (Out-Of-State),54%,"$189,400 ","$536,800 ",7.10%,"$129,000 ","$597,200 ",9.20%,,,,,"$391,700 ",5.90%,"$452,200 ",8.00%,"$739,900 ",8.50%,"$800,300 ",10.60%,,,,,,,,,"$622,300 ",7.70%,"$682,800 ",9.80%,,,,,,,,,,,,,,,,,,,,,,,,
12,63,Milwaukee School of Engineering ,56%,"$192,900 ","$536,000 ",7.00%,"$106,500 ","$622,400 ",10.30%,,,,,"$441,900 ",6.30%,"$528,300 ",9.50%,,,,,,,,,,,,,"$547,100 ",7.10%,"$633,500 ",10.40%,,,,,,,,,,,,,,,,,,,,,,,,
6,64,"Embry-Riddle Aeronautical University (ERAU) - Daytona Beach, FL ",58%,"$195,700 ","$535,700 ",7.00%,"$152,600 ","$578,900 ",8.30%,,,,,"$473,500 ",6.50%,"$516,600 ",7.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,65,Brigham Young University (BYU) ,77%,"$80,170 ","$534,500 ",10.90%,"$59,060 ","$555,600 ",12.60%,"$222,300 ",7.00%,"$243,400 ",8.70%,"$595,500 ",11.40%,"$616,600 ",13.10%,"$916,400 ",13.60%,"$937,500 ",15.40%,,,,,,,,,"$741,800 ",12.50%,"$763,000 ",14.30%,,,,,,,,,,,,,,,,,"$497,500 ",10.60%,"$518,600 ",12.30%,,,,
54,66,University of Michigan - Ann Arbor (In-State),91%,"$103,200 ","$529,500 ",9.70%,"$47,490 ","$585,200 ",14.00%,"$228,600 ",6.20%,"$284,200 ",10.40%,"$537,300 ",9.70%,"$593,000 ",14.10%,"$991,300 ",12.70%,"$1,047,000 ",17.20%,"$608,700 ",10.30%,"$664,400 ",14.70%,,,,,"$775,800 ",11.50%,"$831,500 ",15.90%,"$325,200 ",7.60%,"$380,900 ",11.80%,"$160,800 ",5.00%,"$216,500 ",9.10%,,,,,"$485,700 ",9.30%,"$541,400 ",13.60%,"$372,500 ",8.10%,"$428,200 ",12.40%,,,,
6,67,Wake Forest University ,87%,"$223,000 ","$529,400 ",6.40%,"$128,500 ","$624,000 ",9.40%,,,,,"$553,600 ",6.60%,"$648,200 ",9.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,68,Case Western Reserve University ,78%,"$221,600 ","$528,100 ",6.50%,"$111,700 ","$638,000 ",10.20%,,,,,,,,,"$591,200 ",6.90%,"$701,100 ",10.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,69,Lehigh University ,88%,"$219,200 ","$526,900 ",6.50%,"$101,500 ","$644,600 ",10.70%,,,,,"$665,600 ",7.40%,"$783,400 ",11.60%,,,,,,,,,,,,,"$583,900 ",6.90%,"$701,600 ",11.10%,,,,,,,,,,,,,,,,,,,,,,,,
6,70,Tufts University ,92%,"$226,300 ","$521,500 ",6.30%,"$108,400 ","$639,400 ",10.30%,,,,,,,,,,,,,"$145,400 ",2.70%,"$263,300 ",6.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,71,Purdue University - Main Campus (In-State),69%,"$98,290 ","$519,300 ",9.80%,"$53,830 ","$563,800 ",13.20%,"$95,600 ",3.60%,"$140,100 ",6.80%,"$434,000 ",9.00%,"$478,400 ",12.30%,"$539,200 ",10.00%,"$583,600 ",13.30%,,,,,"($59,000)",-4.30%,"($14,500)",-1.40%,"$758,600 ",11.60%,"$803,100 ",15.00%,,,,,"$372,500 ",8.30%,"$416,900 ",11.60%,,,,,"$333,200 ",7.90%,"$377,600 ",11.10%,"$212,600 ",6.10%,"$257,000 ",9.30%,,,,
6,72,Bentley University ,84%,"$213,200 ","$514,200 ",6.50%,"$117,600 ","$609,800 ",9.70%,,,,,"$553,600 ",6.80%,"$649,200 ",10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,73,Washington University in St. Louis ,94%,"$234,600 ","$513,500 ",6.10%,"$127,900 ","$620,100 ",9.40%,"$133,600 ",2.40%,"$240,300 ",5.60%,"$399,600 ",5.30%,"$506,300 ",8.50%,"$910,800 ",8.40%,"$1,017,000 ",11.80%,,,,,,,,,"$698,300 ",7.30%,"$804,900 ",10.60%,,,,,,,,,,,,,,,,,,,,,,,,
18,74,California State Polytechnic University - Pomona (In-State),51%,"$97,070 ","$511,100 ",9.80%,"$51,410 ","$556,800 ",13.30%,,,,,"$402,900 ",8.70%,"$448,500 ",12.20%,"$734,800 ",11.50%,"$780,500 ",15.10%,,,,,,,,,"$693,400 ",11.20%,"$739,100 ",14.80%,,,,,,,,,,,,,,,,,,,,,,,,
12,75,The College of William and Mary (In-State),90%,"$98,400 ","$509,300 ",9.70%,"$39,590 ","$568,100 ",14.80%,,,,,,,,,"$876,300 ",12.30%,"$935,200 ",17.60%,,,,,,,,,,,,,"$133,800 ",4.60%,"$192,600 ",9.40%,,,,,,,,,,,,,,,,,,,,
6,76,Vanderbilt University ,92%,"$232,600 ","$509,100 ",6.10%,"$74,980 ","$666,800 ",12.30%,,,,,,,,,,,,,"$629,900 ",6.90%,"$787,600 ",13.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,77,"Clarkson University - Potsdam, NY ",70%,"$215,100 ","$508,600 ",6.40%,"$102,400 ","$621,200 ",10.40%,,,,,"$356,700 ",5.20%,"$469,400 ",9.20%,,,,,,,,,,,,,"$518,400 ",6.50%,"$631,100 ",10.50%,,,,,,,,,,,,,,,,,,,,,,,,
0,78,Montana Tech of The University of Montana (Out-Of-State),48%,"$134,500 ","$506,800 ",8.30%,"$108,200 ","$533,000 ",9.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,79,Amherst College ,95%,"$228,400 ","$505,900 ",6.20%,"$84,530 ","$649,900 ",11.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,80,University of Maryland - College Park (In-State),82%,"$95,630 ","$501,300 ",9.80%,"$66,620 ","$530,300 ",11.80%,"$155,800 ",5.10%,"$184,800 ",7.00%,"$585,500 ",10.50%,"$614,500 ",12.50%,"$1,066,000 ",13.50%,"$1,095,000 ",15.60%,"$602,600 ",10.60%,"$631,600 ",12.60%,,,,,"$887,800 ",12.50%,"$916,800 ",14.60%,"$137,000 ",4.70%,"$166,100 ",6.60%,"$248,900 ",6.80%,"$277,900 ",8.70%,,,,,,,,,"$428,800 ",9.10%,"$457,800 ",11.00%,,,,
42,81,Virginia Polytechnic Institute and State University (Virginia Tech) (Out-Of-State),83%,"$157,800 ","$500,800 ",7.60%,"$127,800 ","$530,900 ",8.70%,"$233,700 ",4.80%,"$263,700 ",5.90%,"$379,400 ",6.50%,"$409,400 ",7.60%,"$920,500 ",10.30%,"$950,600 ",11.40%,"$407,200 ",6.80%,"$437,200 ",7.90%,,,,,"$693,600 ",9.00%,"$723,600 ",10.10%,"$183,300 ",4.10%,"$213,300 ",5.20%,"$157,500 ",3.70%,"$187,600 ",4.80%,,,,,,,,,,,,,,,,
